"","Id","MSZoning","LotArea","Alley","LotShape","LandContour","Utilities","LotConfig","Neighborhood","Condition2","BldgType","OverallQual","OverallCond","YearBuilt","YearRemodAdd","Exterior1st","Exterior2nd","ExterQual","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtUnfSF","TotalBsmtSF","Heating","CentralAir","X1stFlrSF","X2ndFlrSF","GrLivArea","BsmtFullBath","FullBath","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","GarageType","GarageFinish","GarageCars","GarageArea","GarageQual","PavedDrive","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","SaleType","SaleCondition","SalePrice","Central"
"1",1,4,8450,3,4,4,"1",5,6,3,1,7,5,2003,2003,13,14,3,3,4,3,706,150,856,2,2,856,854,1710,1,2,1,3,8,7,0,2,2,2,548,5,3,0,0,0,0,2,9,5,208500,2
"2",2,4,9600,3,4,4,"1",3,25,3,1,6,8,1976,1976,9,9,4,3,2,1,978,284,1262,2,2,1262,0,1262,0,2,1,4,6,7,1,2,2,2,460,5,3,0,0,0,0,5,9,5,181500,2
"3",3,4,11250,3,1,4,"1",5,6,3,1,7,5,2001,2002,13,14,3,3,3,3,486,434,920,2,2,920,866,1786,1,2,1,3,6,7,1,2,2,2,608,5,3,0,0,0,0,9,9,5,223500,2
"4",4,4,9550,3,1,4,"1",1,7,3,1,7,5,1915,1970,14,16,4,4,4,1,216,540,756,2,2,961,756,1717,1,1,1,3,7,7,1,6,3,3,642,5,3,0,0,0,0,2,9,1,140000,2
"5",5,4,14260,3,1,4,"1",3,14,3,1,8,5,2000,2000,13,14,3,3,1,3,655,490,1145,2,2,1145,1053,2198,1,2,1,3,9,7,1,2,2,3,836,5,3,0,0,0,0,12,9,5,250000,2
"6",6,4,14115,3,1,4,"1",5,12,3,1,5,5,1993,1995,13,14,4,3,4,3,732,64,796,2,2,796,566,1362,1,1,1,4,5,7,0,2,3,2,480,5,3,320,0,0,700,10,9,5,143000,2
"7",7,4,10084,3,4,4,"1",5,21,3,1,8,5,2004,2005,13,14,3,1,1,3,1369,317,1686,2,2,1694,0,1694,1,2,1,3,7,7,1,2,2,2,636,5,3,0,0,0,0,8,9,5,307000,2
"8",8,4,10382,3,1,4,"1",1,17,3,1,7,6,1973,1973,7,7,4,3,3,1,859,216,1107,2,2,1107,983,2090,1,2,1,4,7,7,2,2,2,2,484,5,3,0,0,0,350,11,9,5,200000,2
"9",9,5,6120,3,4,4,"1",5,18,3,1,7,5,1931,1950,4,16,4,4,4,6,0,952,952,2,2,1022,752,1774,0,2,2,4,8,3,2,6,3,2,468,2,3,0,0,0,0,4,9,1,129900,2
"10",10,4,7420,3,4,4,"1",1,4,1,2,5,6,1939,1950,9,9,4,4,4,3,851,140,991,2,2,1077,0,1077,1,1,2,4,5,7,2,2,2,1,205,3,3,0,0,0,0,1,9,5,118000,2
"11",11,4,11200,3,4,4,"1",5,19,3,1,5,5,1965,1965,7,7,4,4,4,5,906,134,1040,2,2,1040,0,1040,1,1,1,4,5,7,0,6,3,1,384,5,3,0,0,0,0,2,9,5,129500,2
"12",12,4,11924,3,1,4,"1",5,16,3,1,9,5,2005,2006,15,16,1,1,4,3,998,177,1175,2,2,1182,1142,2324,1,3,1,1,11,7,2,4,1,3,736,5,3,0,0,0,0,7,7,6,345000,2
"13",13,4,12968,3,2,4,"1",5,19,3,1,5,6,1962,1962,7,11,4,4,4,1,737,175,912,2,2,912,0,912,1,1,1,4,4,7,0,6,3,1,352,5,3,0,176,0,0,9,9,5,144000,2
"14",14,4,10652,3,1,4,"1",5,6,3,1,7,5,2006,2007,13,14,3,3,1,6,0,1494,1494,2,2,1494,0,1494,0,2,1,3,7,7,1,2,2,3,840,5,3,0,0,0,0,8,7,6,279500,2
"15",15,4,10920,3,1,4,"1",1,13,3,1,6,5,1960,1960,9,9,4,4,4,2,733,520,1253,2,2,1253,0,1253,1,1,1,4,5,7,1,2,2,1,352,5,3,0,0,0,0,5,9,5,157000,2
"16",16,5,6120,3,4,4,"1",1,4,3,1,7,8,1929,2001,14,15,4,4,4,6,0,832,832,2,2,854,0,854,0,1,1,4,5,7,0,6,3,2,576,5,3,0,0,0,0,7,9,5,132000,2
"17",17,4,11241,3,1,4,"1",2,13,3,1,6,7,1970,1970,14,15,4,4,4,1,578,426,1004,2,2,1004,0,1004,1,1,1,4,5,7,1,2,1,2,480,5,3,0,0,0,700,3,9,5,149000,2
"18",18,4,10791,3,4,4,"1",5,19,3,3,4,5,1967,1967,9,9,4,5,5,7,0,0,0,2,2,1296,0,1296,0,2,2,4,6,7,0,5,3,2,516,5,3,0,0,0,500,10,9,5,90000,2
"19",19,4,13695,3,4,4,"1",5,20,3,1,5,5,2004,2004,13,14,4,4,4,3,646,468,1114,2,2,1114,0,1114,1,1,1,3,6,7,0,6,3,2,576,5,3,0,0,0,0,6,9,5,159000,2
"20",20,4,7560,3,4,4,"1",5,13,3,1,5,6,1958,1965,4,11,4,4,4,4,504,525,1029,2,2,1339,0,1339,0,1,1,4,6,3,0,2,3,1,294,5,3,0,0,0,0,5,1,1,139000,2
"21",21,4,14215,3,1,4,"1",1,16,3,1,8,5,2005,2006,13,14,3,1,1,6,0,1158,1158,2,2,1158,1218,2376,0,3,1,3,9,7,1,4,2,3,853,5,3,0,0,0,0,11,7,6,325300,2
"22",22,5,7449,1,4,1,"1",5,10,3,1,7,7,1930,1950,14,15,4,4,4,6,0,637,637,2,2,1108,0,1108,0,1,1,3,6,7,1,2,3,1,280,5,1,0,0,0,0,6,9,5,139400,2
